name,english," "
Rent Seeking (Rentismo) (Rentier),,33
Public Research Institutes (PRI),,32
Aceleradoras Científicas,,24
Political Organization,,22
"Mathematical Theory ",,20
Private Research Lab,,20
Industry Association,,20
Research University,,19
Dotación Financiera,,19
Pancomputationalism,,19
Developmental State,,19
Network Interface,,17
Development Banks,,17
Consejo de Estado,,17
Cámara de Comptos,,17
Policy Institute,,16
Characterization,,16
Interoperability,,16
Predictive Power,,16
Metaestabilidad,,15
Industrial Park,,15
Horcas Caudinas,,15
Ceteris Paribus,,15
Intelligibility,,15
Research Group,,14
Critique Model,,14
Nudo Gordiano,,13
Configuracion,,13
Epiphenomenon,,13
Economic Rent,,13
Technoscience,,13
Morphogenesis,Morphogenesis,13
Phenomenology,,13
Masa Crítica,,12
Acoplamiento,,12
Probabilidad,,12
Central Bank,,12
Pioneer Bank,,12
Proiectarium,,12
Esencialismo,,12
Conocimiento,,12
Hermeneutics,,12
Prescriptive,,12
Conversación,,12
Prerrogativa,,12
Expressivity,,12
Consistencia,Consistency,12
Transparency,,12
Civilization,,12
"(Ismo) Ism ",,11
Explicación,,11
Contingente,,11
Significado,Meaning,11
Pensamiento,,11
Proposicion,,11
Aristocrata,,11
Reification,,11
Laboratorio,,11
Institution,,11
Reciprocity,,11
Evangelista,,11
Diagnóstico,,11
Vocabulario,,11
Nigromancia,,11
Maniqueísmo,,11
Herramienta,,11
Flexibility,,11
Connotación,Connotation,11
Antifragile,,11
Ontogenesis,,11
Combinacion,,11
Estrategia,,10
Conciencia,,10
Complexity,,10
Logomaquia,,10
Perogrullo,,10
Redundante,,10
Modularity,,10
Comprender,,10
Incubadora,,10
Enterprise,,10
Laboratory,,10
Technicity,,10
Inferencia,,10
Fundamento,Grounding,10
Adaptation,,10
Pronóstico,,10
Tolerancia,,10
Absorption,,10
Catequesis,,10
Etimología,,10
Denotación,Denotation,10
Robustness,,10
Generality,,10
Generación,,10
Estructura,,10
Technology,,10
Coordenada,,10
Pentagrama,,10
Simplicity,,10
Validation,,10
Simplicity,,10
Abstración,,10
Simplicity,,10
Subvención,,10
Ostracismo,,10
Categoría,,9
Mechanism,,9
Substrato,,9
Conjugate,,9
Predicado,,9
Principle,,9
Plantilla,,9
Dimension,,9
Intricado,,9
Arbitrage,,9
Upgrading,,9
Soberania,,9
Galimatia,"Mumbo Jumbo; Gibberish; ",9
Esperanza,,9
Diffusion,,9
Tradición,,9
Endofobia,,9
Eisegesis,,9
Relevance,,9
Technique,,9
Mecanismo,,9
Patronato,,9
Taxonomia,,9
Patrician,,9
Teleology,,9
Formalism,,9
Optimismo,,9
Bosquejar,,9
Precision,,9
Zeitgeist,,9
Apophenia,,9
Seminario,,9
Describir,Descriptive,9
Coyuntura,,9
Iteration,,9
Hierarchy,,9
Ocultismo,,9
Ignominia,,9
Structure,,9
Metonimia,,9
Violencia,,9
Vademécum,,9
Metrópoli,,9
Coherente,,9
Ideology,,8
Property,,8
Humildad,,8
Planilla,,8
Ridículo,,8
Magnitud,,8
Convocar,,8
Disperso,,8
Cohesion,,8
Rechazar,,8
Sinopsis,,8
Análisis,,8
Compacto,,8
Concepto,,8
Tribunal,,8
Doctrina,,8
Cainismo,,8
Mediocre,,8
Liturgia,,8
Document,,8
Enajenar,,8
Aséptico,,8
Brevario,,8
Formular,,8
Exegesis,,8
Oximoron,,8
Adjetivo,,8
Problema,,8
Entender,,8
Apócrifo,,8
Fenomeno,,8
Elaborar,,8
Leverage,,8
Espectro,,8
Atavismo,,8
Histrión,,8
Agorador,,8
Gregario,,8
Tertulia,,8
Comisión,,8
Cartilla,,8
Leverage,,8
Accuracy,,8
Gobierno,,8
Academia,,8
Contrato,,8
Arúspice,,8
Locución,,8
Catarsis,,8
Vehiculo,,8
Validity,,8
Ultraje,,7
Respeto,,7
Invocar,,7
Matizar,,7
Razonar,,7
Conciso,,7
General,,7
Synergy,,7
Asignar,Map,7
Moderno,,7
Ciencia,Science,7
Tecnica,,7
Sofista,,7
Simbolo,,7
Reality,,7
Negocio,,7
Dialogo,,7
Holismo,,7
Maestre,,7
Noticia,,7
Reforma,,7
Privado,,7
Emporio,,7
Notario,,7
Escolio,,7
Society,,7
Carenar,,7
Cátedra,,7
Oprobio,,7
Service,,7
Proceso,,7
Definir,,7
Palacio,,7
Crítica,,7
Clarity,,7
Ajustar,,7
Subasta,,7
Ecúmene,,7
Alarife,,7
Teoría,theory,6
Notion,,6
Patrón,Pattern,6
Lambda,,6
Verdad,Truth,6
Belief,,6
Normal,,6
Umbral,Threshold,6
Kernel,,6
Pensar,,6
Modelo,,6
Praxis,,6
Method,,6
Cortes,,6
Policy,,6
Diseño,,6
Tesela,,6
Crisis,,6
Dinero,,6
Ad hoc,,6
Medida,,6
Virtud,,6
Fuerte,,6
Gringo,,6
Tiempo,,6
Agents,,6
Máxima,,6
Nacion,,6
Maraña,,6
Merced,,6
Póliza,,6
Creer,Believe,5
Saldo,,5
Monto,,5
topic,,5
Orden,,5
Rigor,,5
Logos,,5
Telos,,5
Poder,,5
Model,,5
Norma,,5
Tótem,,5
Moral,,5
Token,,5
Liceo,,5
Feria,,5
Geek,,4
Coto,,4
Data,,4
Foro,,4
Idea,,4
Juez,,4
Plan,,4
R&D,,3
Log,,3
C,,1
